"","state","county","latitude","longitude"
"211","SC","Berkeley",33.1821475333333,-79.9478597333333
"212","WV","Berkeley",39.4347241111111,-78.0278581111111
"213","PA","Berks",40.4056010535714,-75.8955055357143
"214","MA","Berkshire",42.3389655263158,-73.2198372368421
"215","NM","Bernalillo",35.0723227142857,-106.606417591837
"216","GA","Berrien",31.2713025,-83.25590975
"217","MI","Berrien",41.9645547307692,-86.5061957307692
"218","NC","Bertie",36.1421375,-77.040356375
"219","AK","Bethel",60.307629,-163.082599269231
"220","TX","Bexar",29.39955402,-98.47839965
"221","AL","Bibb",33.032728375,-87.080730625
"222","GA","Bibb",32.8159099565217,-83.6725
"223","LA","Bienville",32.3511365,-93.0566595
"224","MT","Big Horn",45.4890734,-107.4829025
"225","WY","Big Horn",44.5378703333333,-108.167645333333
"226","MN","Big Stone",45.4375427142857,-96.4793804285714
"227","ND","Billings",46.9503125,-103.4297765
"228","ID","Bingham",43.1927921,-112.4185735
"229","IA","Black Hawk",42.4667297333333,-92.285328
"230","IN","Blackford",40.4942835,-85.311033
"231","NC","Bladen",34.6163775,-78.620608
"232","ID","Blaine",43.510648,-114.280500142857
"233","MT","Blaine",48.4207777142857,-108.935633571429
"234","NE","Blaine",41.9203273333333,-99.937127
"235","OK","Blaine",35.980877375,-98.452275625
"236","PA","Blair",40.443465375,-78.380148125
"237","TX","Blanco",30.242591,-98.4166412
"238","VA","Bland",37.127348,-81.15842
"239","GA","Bleckley",32.383904,-83.321095
"240","TN","Bledsoe",35.609437,-85.210253
"241","AL","Blount",33.9519438571429,-86.582932
"242","TN","Blount",35.7391081818182,-83.9527663636364
"243","MN","Blue Earth",44.036686,-94.027806
"244","ID","Boise",44.0242208333333,-115.875148333333
"245","MS","Bolivar",33.7992100625,-90.853291375
"246","MO","Bollinger",37.2959494444444,-90.0407212222222
"247","SD","Bon Homme",42.9660758,-97.8351462
"248","IL","Bond",38.911973,-89.4343338571429
"249","ID","Bonner",48.2969475555556,-116.620858333333
"250","ID","Bonneville",43.4433661818182,-111.710396363636
"251","AR","Boone",36.3163343333333,-93.0584487777778
"252","IA","Boone",42.031296875,-93.974503625
"253","IL","Boone",42.3475092,-88.7999046
"254","IN","Boone",40.0205451666667,-86.4832555
"255","KY","Boone",38.965035875,-84.729009375
"256","MO","Boone",38.9624903888889,-92.2633105
"257","NE","Boone",41.665761,-98.0335168
"258","WV","Boone",38.0333155,-81.7211717857143
"259","TX","Borden",32.743795,-101.432354
"260","TX","Bosque",31.900304,-97.6469645555556
"261","LA","Bossier",32.5828142727273,-93.5954508181818
"262","VA","Botetourt",37.485246,-79.8394813636364
"263","ND","Bottineau",48.764928,-100.883402666667
"264","CO","Boulder",40.08435065625,-105.3414055625
"265","ID","Boundary",48.7412212,-116.4178416
"266","KS","Bourbon",37.8715624285714,-94.8599262857143
"267","KY","Bourbon",38.21984675,-84.169586
"268","TX","Bowie",33.4308216923077,-94.3067754615385
"269","ND","Bowman",46.1436823333333,-103.521039666667
"270","NE","Box Butte",42.2671905,-103.0852925
"271","UT","Box Elder",41.6871916666667,-112.299762333333
"272","KY","Boyd",38.3755975,-82.6947018333333
"273","NE","Boyd",42.8847806,-98.7785238
"274","KY","Boyle",37.6090503333333,-84.898715
"275","KY","Bracken",38.690613,-84.061536
"276","FL","Bradford",29.9422862,-82.1741776
"277","PA","Bradford",41.7783033076923,-76.5425095384615
"278","AR","Bradley",33.47459975,-92.19609625
"279","TN","Bradley",35.1871165714286,-84.8564005714286
"280","MI","Branch",41.9255605,-85.0764386666667
"281","GA","Brantley",31.19838525,-81.94452325
"282","WV","Braxton",38.686628,-80.7038213571429
"283","TX","Brazoria",29.2448528095238,-95.4638213333333
"284","TX","Brazos",30.6403654705882,-96.3379349411765
"285","KY","Breathitt",37.5119526666667,-83.3115872222222
"286","KY","Breckinridge",37.7744186428571,-86.3928449285714
"287","IA","Bremer",42.76470275,-92.355134125
"288","FL","Brevard",28.2417157234043,-80.6845882340426
"289","TX","Brewster",30.1023088333333,-103.366788166667
"290","TX","Briscoe",34.4259925,-101.1959825
"291","MA","Bristol",41.7941108888889,-71.0973393555556
"292","RI","Bristol",41.71386225,-71.28378025
"293","VA","Bristol",36.689653,-82.07032375
"294","AK","Bristol Bay",58.700512,-156.973829
"295","MT","Broadwater",46.33816175,-111.552835
"296","NY","Bronx",40.8474275,-73.8759281923077
"297","WV","Brooke",40.2729222857143,-80.5998084285714
"298","SD","Brookings",44.349181,-96.75781975
"299","GA","Brooks",30.8377722,-83.577782
"300","TX","Brooks",27.123134,-98.2030525
"301","NY","Broome",42.180092,-75.8467584516129
"302","FL","Broward",26.1422002873563,-80.2761127931035
"303","IL","Brown",39.9767376666667,-90.789846
"304","IN","Brown",39.2071403333333,-86.2413336666667
"305","KS","Brown",39.7827417142857,-95.5862331428571
"306","MN","Brown",44.2434562857143,-94.7062107142857
"307","NE","Brown",42.5141396666667,-99.8285513333333
"308","OH","Brown",38.9052398333333,-83.8669371666667
"309","SD","Brown",45.5730635,-98.3095853571429
"310","TX","Brown",31.7613837777778,-98.9594175555556
"311","WI","Brown",44.4938532105263,-88.002713
"312","SD","Brule",43.7527135,-99.10557075
"313","NC","Brunswick",34.0132793571429,-78.2670722142857
"314","VA","Brunswick",36.755178,-77.864299
"315","GA","Bryan",32.0402436666667,-81.475017
"316","OK","Bryan",33.9570986666667,-96.2706831333333
"317","IA","Buchanan",42.5120275454545,-91.8366113636364
"318","MO","Buchanan",39.7003494615385,-94.8220922307692
"319","VA","Buchanan",37.2860656875,-82.0319495625
"320","VA","Buckingham",37.525511,-78.511054
"321","PA","Bucks",40.3101096470588,-75.0734941176471
"322","IA","Buena Vista",42.7668843333333,-95.1290334444444
"323","VA","Buena Vista City",37.730001,-79.355121
"324","NE","Buffalo",40.8346206153846,-99.1107913846154
"325","SD","Buffalo",44.064873,-99.251509
"326","WI","Buffalo",44.3379328333333,-91.775123
"327","KY","Bullitt",37.9791102,-85.6769966
"328","GA","Bulloch",32.4346265714286,-81.7901788571429
"329","AL","Bullock",32.10515375,-85.71408825
"330","NC","Buncombe",35.5972238333333,-82.5292704166667
"331","IL","Bureau",41.3941034583333,-89.4793437083333
"332","GA","Burke",33.0411473333333,-81.9587481666667
"333","NC","Burke",35.755752,-81.6456658181818
"334","ND","Burke",48.8329948333333,-102.528727333333
"335","ND","Burleigh",46.9245982142857,-100.472609428571
"336","TX","Burleson",30.447295,-96.5939258571429
"337","NJ","Burlington",39.9789335882353,-74.7408907647059
"338","TX","Burnet",30.7147956,-98.1459992
"339","WI","Burnett",45.8439808,-92.3657726
"340","NE","Burt",41.8744278,-96.3469898
"341","AL","Butler",31.6921958,-86.7032796
"342","IA","Butler",42.7097408333333,-92.8273860833333
"343","KS","Butler",37.7844026,-96.9094435333333
"344","KY","Butler",37.2207371,-86.7050984
"345","MO","Butler",36.7138638888889,-90.3728217777778
"346","NE","Butler",41.2174859,-97.1085985
"347","OH","Butler",39.4347819285714,-84.5612578214286
"348","PA","Butler",40.9168064864865,-79.9103291621622
"349","CA","Butte",39.6405139583333,-121.600369041667
"350","ID","Butte",43.7574986666667,-113.251845333333
"351","SD","Butte",44.7414852,-103.5939502
"352","GA","Butts",33.2931233333333,-83.9693776666667
"353","NC","Cabarrus",35.3817241111111,-80.5745771111111
"354","WV","Cabell",38.4143164,-82.2850417777778
"355","PR","Cabo Rojo",18.030366,-67.1684295
"356","UT","Cache",41.7821501578947,-111.902067578947
"357","LA","Caddo",32.5962838695652,-93.8077428043478
"358","OK","Caddo",35.1535535714286,-98.3636287142857
"359","PR","Caguas",18.212965,-66.058033
"360","CA","Calaveras",38.2096915714286,-120.561866571429
"361","LA","Calcasieu",30.2385532380952,-93.2816148095238
"362","KY","Caldwell",37.1708895,-87.926819
"363","LA","Caldwell",32.0473845,-92.158722
"364","MO","Caldwell",39.6491661428571,-93.9802867142857
"365","NC","Caldwell",35.9040945714286,-81.5363478571429
"366","TX","Caldwell",29.8121965714286,-97.7130032857143
"367","VT","Caledonia",44.4660496363636,-72.0778667727273
"368","AL","Calhoun",33.7673052941176,-85.8300413529412
"369","AR","Calhoun",33.5913835,-92.53906475
"370","FL","Calhoun",30.45093025,-85.13487825
"371","GA","Calhoun",31.50156875,-84.63635475
"372","IA","Calhoun",42.3989788,-94.6109049
"373","IL","Calhoun",39.0950695,-90.65650075
"374","MI","Calhoun",42.2220733333333,-85.0481692
"375","MS","Calhoun",33.9216077777778,-89.3366714444444
"376","SC","Calhoun",33.633524,-80.787987
"377","TX","Calhoun",28.526711,-96.5772076
"378","WV","Calhoun",38.840232,-81.12735375
"379","TX","Callahan",32.29026625,-99.29127725
"380","MO","Callaway",38.7772044545455,-91.9402739090909
"381","KY","Calloway",36.6391944285714,-88.2551995714286
